date,open,close,market,day
2015-09-29,239.02,236.69,3505090000,1
2015-09-30,236.64,236.06,3471280000,2
2015-10-01,236.0,237.55,3462800000,3
2015-10-02,237.26,237.29,3482190000,4
2015-10-03,237.2,238.73,3482100000,5
2015-10-04,238.53,238.26,3502460000,6
2015-10-05,238.15,240.38,3497740000,7
2015-10-06,240.36,246.06,3531230000,8
2015-10-07,246.17,242.97,3617400000,9
2015-10-08,243.07,242.3,3572730000,10
2015-10-09,242.5,243.93,3565090000,11
2015-10-10,243.74,244.94,3584120000,12
2015-10-11,244.74,247.05,3599840000,13
2015-10-12,246.88,245.31,3632110000,14
2015-10-13,245.2,249.51,3608340000,15
2015-10-14,249.49,251.99,3672370000,16
2015-10-15,252.11,254.32,3711800000,17
2015-10-16,254.3,262.87,3745090000,18
2015-10-17,262.75,270.64,3870490000,19
2015-10-18,270.91,261.64,3991620000,20
2015-10-19,261.86,263.44,3859270000,21
2015-10-20,263.57,269.46,3885570000,22
2015-10-21,269.31,266.27,3970980000,23
2015-10-22,266.5,274.02,3930500000,24
2015-10-23,273.65,276.5,4037010000,25
2015-10-24,276.5,281.65,4080140000,26
2015-10-25,281.44,283.68,4154100000,27
2015-10-26,283.63,285.3,4187410000,28
2015-10-27,285.18,293.79,4211500000,29
2015-10-28,293.7,304.62,4338430000,30
2015-10-29,304.32,313.86,4496390000,31
2015-10-30,313.94,328.01,4639690000,32
2015-10-31,328.51,314.17,4856410000,33
2015-11-01,315.0,325.43,4657890000,34
2015-11-02,325.94,361.19,4820850000,35
2015-11-03,361.87,403.42,5353680000,36
2015-11-04,403.66,411.56,5973510000,37
2015-11-05,408.08,386.35,6040410000,38
2015-11-06,388.05,374.47,5745320000,39
2015-11-07,374.27,386.48,5542680000,40
2015-11-08,384.28,373.37,5692390000,41
2015-11-09,374.32,380.26,5546240000,42
2015-11-10,379.98,336.82,5631520000,43
2015-11-11,339.82,311.08,5037510000,44
2015-11-12,314.08,338.15,4657240000,45
2015-11-13,338.5,336.75,5020700000,46
2015-11-14,336.62,332.91,4994250000,47
2015-11-15,333.05,320.17,4942420000,48
2015-11-16,319.74,330.75,4746070000,49
